name,meaning,gender
Tamaav,Love,Boy
Ishlaa,Peace,Girl
Ommiya,Energy,Boy
Adikaita,Strength,Boy
Anviraj,Peace,Girl
Avrideep,Harmony,Boy
Shashideep,Love,Girl
Aytaraj,Blessing,Girl
Viriit,Strength,Boy
Taloika,Faith,Girl
Vineay,Prosperity,Girl
Dakaita,Brilliance,Girl
Arriesh,Joy,Boy
Vanapreet,Love,Boy
Ganin,Love,Girl
Kikaay,Strength,Girl
Vamideep,Brilliance,Girl
Shidiansh,Victory,Girl
Pakaansh,Courage,Boy
Vasaita,Wisdom,Girl
Aaradev,Strength,Girl
Anlaika,Love,Girl
Daniika,Hope,Boy
Tasaraj,Courage,Girl
Vasaraj,Energy,Girl
Pamaan,Prosperity,Girl
Zamia,Faith,Girl
Kamaa,Courage,Boy
Zaneay,Love,Boy
Saniika,Strength,Boy
Omsaika,Light,Boy
Denea,Faith,Girl
Adivaali,Courage,Girl
Zasaita,Faith,Boy
Daniay,Love,Boy
Aarvaali,Divine,Girl
Yamiika,Kindness,Boy
Pramiita,Faith,Girl
Triruika,Brilliance,Boy
Ashkaraj,Faith,Boy
Nasaita,Hope,Girl
Shiviika,Harmony,Boy
Ashrapreet,Prosperity,Boy
Viriit,Grace,Boy
Narudev,Courage,Boy
Omtaan,Prosperity,Girl
Dilapreet,Joy,Boy
Ravaans,Prosperity,Boy
Raloav,Peace,Boy
Kineika,Faith,Girl
Deruit,Energy,Boy
Lamidev,Energy,Boy
Kaniika,Harmony,Boy
Vimiita,Divine,Boy
Shiyadev,Light,Boy
Avyaav,Hope,Girl
Kamin,Divine,Girl
Demians,Faith,Boy
Anniay,Prosperity,Girl
Yalaita,Grace,Boy
Aataraj,Grace,Girl
Aylaita,Brilliance,Boy
Ishneika,Joy,Boy
Chasaika,Brilliance,Girl
Kadiika,Victory,Girl
Charaav,Peace,Boy
Viriika,Victory,Boy
Avraans,Strength,Girl
Daneraj,Kindness,Boy
Pariay,Faith,Girl
Aarruika,Peace,Girl
Ansait,Courage,Girl
Ramipreet,Kindness,Girl
Aarlan,Brilliance,Girl
Aarniit,Courage,Boy
Omnedev,Kindness,Girl
Aaniit,Hope,Boy
Kaneans,Brilliance,Boy
Dekadeep,Love,Boy
Vayaesh,Wisdom,Boy
Shaniraj,Light,Boy
Pranadeep,Joy,Boy
Vamaali,Divine,Girl
Kiyaika,Love,Boy
Shariita,Kindness,Boy
Rapapreet,Love,Girl
Arniit,Grace,Boy
Ayvaav,Kindness,Girl
Panaay,Harmony,Boy
Deniansh,Faith,Boy
Triniita,Blessing,Girl
Shaviansh,Grace,Boy
